Razón Social;Gpo de Cliente;ClaseDoc.;Num.Factura;Sector;Canal;Fecha.Doc;Zona.Vtas;Almacen;Denominacion Material;Cantidad UMV;UM.Vtas;Cantidad UMB;UM.Base;Prec.Unitario;Monto Neto;IVA;Importe Final;Doc.Comercial;Cond.Pago;Fec.Venc.;Moneda.Doc.;Status de Anulacion;Doc.Anulac;Grp.Vend;Vendedor;Referencia;Pedido.Vta;Jerarquía 1;Jerarquía 2;Jerarquía 3;UM.Peso;Peso.Fact;Peso.Total;Um.PesoGen;Ramo;Gr.Material;Gr.Articulo;Tipo.Cambio;Mes;Ejercicio;Prec.Unitario 2;Monto Neto 2;IVA 2;Importe Final 2;Conc.Busq;Codigo_Mat;Listas_precios;;Cod_cliente;;Ind_retcl;Ind_auto_retcl;fechahora;CodMot;Tx Motivo;CodVend;OrgVtas
ALKOSTO DONDE COMPRAR ES GANAR, C.A.;Cadenas;Fact. Nac. Pharsana;6000138755;Absorbentes;Venta Directa;20260210;Zona Occidente;3000;SECUREZZA CLASSIC M REG (6x6UN);2,000;PAK;12,000;PAQ;30,48;60,96;9,75;70,71;Factura;Crédito 21 días;20260303;USD;NA;;GV. Ger. Reg. Occid.;RICHIE K. MORILLO;00-0628327;1002065760;Securezza;6;Classic;KG;5,436;;5,436;Cadena Regional;PH-Protector Incont.;INCONTINENCIA;0,00000;02;2026;30,48;60,96;9,75;70,71;COMERCIO TRADICIONAL;50000626;Cadenas;;0010002784;10;01;X;20.02.2026 - 22:04:24;;;00100105;1000
ALKOSTO DONDE COMPRAR ES GANAR, C.A.;Cadenas;Fact. Nac. Pharsana;6000138755;Absorbentes;Venta Directa;20260210;Zona Occidente;3000;SECUREZZA CLASSIC L REG (6x6UN);1,000;PAK;6,000;PAQ;35,95;35,95;5,75;41,70;Factura;Crédito 21 días;20260303;USD;NA;;GV. Ger. Reg. Occid.;RICHIE K. MORILLO;00-0628327;1002065760;Securezza;6;Classic;KG;3273,000;;3273,000;Cadena Regional;PH-Protector Incont.;INCONTINENCIA;0,00000;02;2026;35,95;35,95;5,75;41,70;COMERCIO TRADICIONAL;50000627;Cadenas;;0010002784;10;01;X;20.02.2026 - 22:04:24;;;00100105;1000
ALKOSTO DONDE COMPRAR ES GANAR, C.A.;Cadenas;Fact. Nac. Pharsana;6000138755;Cuidado Personal;Venta Directa;20260210;Zona Occidente;3000;AMY SEC TH MANZANILLA P/BEBES (24x72UN);5,000;CS;120,000;PAQ;32,64;163,20;26,12;189,32;Factura;Crédito 21 días;20260303;USD;NA;;GV. Ger. Reg. Occid.;RICHIE K. MORILLO;00-0628327;1002065760;Amy;72;Original;KG;39,480;;39,480;Cadena Regional;PH-TH Flow Pack;TOALLAS HUMEDAS;0,00000;02;2026;32,64;163,20;26,12;189,32;COMERCIO TRADICIONAL;50001005;Cadenas;;0010002784;10;01;X;20.02.2026 - 22:04:24;;;00100105;1000
ALKOSTO DONDE COMPRAR ES GANAR, C.A.;Cadenas;Fact. Nac. Pharsana;6000138755;Absorbentes;Venta Directa;20260210;Zona Occidente;3000;CHICCO PAÑAL DE NIÑO XXG REG (8X20UN);2,000;PAK;16,000;PAQ;38,40;76,80;12,29;89,09;Factura;Crédito 21 días;20260303;USD;NA;;GV. Ger. Reg. Occid.;RICHIE K. MORILLO;00-0628327;1002065760;Chicco;20;Pañal Desechable;KG;5136,000;;5136,000;Cadena Regional;PH-Pañal Anatóm. T3;ABSORBENTES NIÑOS;0,00000;02;2026;38,40;76,80;12,29;89,09;COMERCIO TRADICIONAL;50001139;Cadenas;;0010002784;10;01;X;20.02.2026 - 22:04:24;;;00100105;1000
ALKOSTO DONDE COMPRAR ES GANAR, C.A.;Cadenas;Fact. Nac. Pharsana;6000138755;Absorbentes;Venta Directa;20260210;Zona Occidente;3000;CHICCO PAÑAL DE NIÑO XG REG (8X20UN);1,000;PAK;8,000;PAQ;38,40;38,40;6,14;44,54;Factura;Crédito 21 días;20260303;USD;NA;;GV. Ger. Reg. Occid.;RICHIE K. MORILLO;00-0628327;1002065760;Chicco;20;Pañal Desechable;KG;2568,000;;2568,000;Cadena Regional;PH-Pañal Anatóm. T3;ABSORBENTES NIÑOS;0,00000;02;2026;38,40;38,40;6,14;44,54;COMERCIO TRADICIONAL;50000993;Cadenas;;0010002784;10;01;X;20.02.2026 - 22:04:24;;;00100105;1000
ALKOSTO DONDE COMPRAR ES GANAR, C.A.;Cadenas;Fact. Nac. Pharsana;6000138755;Absorbentes;Venta Directa;20260210;Zona Occidente;3000;CHICCO PAÑAL DE NIÑO M REG (8X20UN);2,000;PAK;16,000;PAQ;34,63;69,25;11,08;80,33;Factura;Crédito 21 días;20260303;USD;NA;;GV. Ger. Reg. Occid.;RICHIE K. MORILLO;00-0628327;1002065760;Chicco;20;Pañal Desechable;KG;10608,000;;10608,000;Cadena Regional;PH-Pañal Anatóm. T3;ABSORBENTES NIÑOS;0,00000;02;2026;34,63;69,25;11,08;80,33;COMERCIO TRADICIONAL;50000990;Cadenas;;0010002784;10;01;X;20.02.2026 - 22:04:24;;;00100105;1000
ALKOSTO DONDE COMPRAR ES GANAR, C.A.;Cadenas;Fact. Nac. Pharsana;6000138755;Absorbentes;Venta Directa;20260210;Zona Occidente;3000;CHICCO PAÑAL DE NIÑO G REG (8X20UN);1,000;PAK;8,000;PAQ;37,25;37,25;5,96;43,21;Factura;Crédito 21 días;20260303;USD;NA;;GV. Ger. Reg. Occid.;RICHIE K. MORILLO;00-0628327;1002065760;Chicco;20;Pañal Desechable;KG;5,392;;5,392;Cadena Regional;PH-Pañal Anatóm. T3;ABSORBENTES NIÑOS;0,00000;02;2026;37,25;37,25;5,96;43,21;COMERCIO TRADICIONAL;50000992;Cadenas;;0010002784;10;01;X;20.02.2026 - 22:04:24;;;00100105;1000
ALKOSTO DONDE COMPRAR ES GANAR, C.A.;Cadenas;Fact. Nac. Pharsana;6000138756;Absorbentes;Venta Directa;20260210;Zona Occidente;3000;FRIENDS PD REGULAR S/P (24X20UN);1,000;PAK;24,000;PAQ;23,81;23,81;3,81;27,62;Factura;Crédito 21 días;20260303;USD;NA;;GV. Ger. Reg. Occid.;RICHIE K. MORILLO;00-0628328;1002065760;Friends;20;Regular;KG;0,864;;0,864;Cadena Regional;PH-Protector Diario;ABSORBENTES FEMENINA;0,00000;02;2026;23,81;23,81;3,81;27,62;COMERCIO TRADICIONAL;50001130;Cadenas;;0010002784;10;01;X;20.02.2026 - 22:04:24;;;00100105;1000
ALKOSTO DONDE COMPRAR ES GANAR, C.A.;Cadenas;Fact. Nac. Pharsana;6000138756;Absorbentes;Venta Directa;20260210;Zona Occidente;3000;FRIENDS TS NOCTURNA SIN ALAS (12x10UN);4,000;PAK;48,000;PAQ;22,18;88,70;14,19;102,89;Factura;Crédito 21 días;20260303;USD;NA;;GV. Ger. Reg. Occid.;RICHIE K. MORILLO;00-0628328;1002065760;Friends;10;Nocturna;KG;6,144;;6,144;Cadena Regional;PH-Toalla Sanitaria;ABSORBENTES FEMENINA;0,00000;02;2026;22,18;88,70;14,19;102,89;COMERCIO TRADICIONAL;50001111;Cadenas;;0010002784;10;01;X;20.02.2026 - 22:04:24;;;00100105;1000
ALKOSTO DONDE COMPRAR ES GANAR, C.A.;Cadenas;Fact. Nac. Pharsana;6000138756;Absorbentes;Venta Directa;20260210;Zona Occidente;3000;FRIENDS TS TELA REGULAR (12x14UN);2,000;PAK;24,000;PAQ;21,22;42,43;6,79;49,22;Factura;Crédito 21 días;20260303;USD;NA;;GV. Ger. Reg. Occid.;RICHIE K. MORILLO;00-0628328;1002065760;Friends;14;Regular;KG;2,136;;2,136;Cadena Regional;PH-Toalla Sanitaria;ABSORBENTES FEMENINA;0,00000;02;2026;21,22;42,43;6,79;49,22;COMERCIO TRADICIONAL;50001109;Cadenas;;0010002784;10;01;X;20.02.2026 - 22:04:24;;;00100105;1000
ALKOSTO DONDE COMPRAR ES GANAR, C.A.;Cadenas;Fact. Nac. Pharsana;6000138757;Cuidado Personal;Venta Directa;20260210;Zona Occidente;3000;AMY SEC TH 99% AGUA (20x48UN);2,000;CS;40,000;PAQ;21,66;43,32;6,93;50,25;Factura;Crédito 21 días;20260303;USD;NA;;GV. Ger. Reg. Occid.;RICHIE K. MORILLO;00-0628329;1002065761;Amy;48;Original;KG;10,360;;10,360;Cadena Regional;PH-TH Flow Pack;TOALLAS HUMEDAS;0,00000;02;2026;21,66;43,32;6,93;50,25;COMERCIO TRADICIONAL;50001072;Cadenas;;0010002784;10;01;X;20.02.2026 - 22:04:24;;;00100105;1000
ALKOSTO DONDE COMPRAR ES GANAR, C.A.;Cadenas;Fact. Nac. Pharsana;6000138757;Cuidado Personal;Venta Directa;20260210;Zona Occidente;3000;AMY LOCION PARA BEBES (10x200ML);1,000;CS;10,000;ST;27,93;27,93;4,47;32,40;Factura;Crédito 21 días;20260303;USD;NA;;GV. Ger. Reg. Occid.;RICHIE K. MORILLO;00-0628329;1002065761;Amy;200;Original;KG;2,170;;2,170;Cadena Regional;PH-Loción;HIGIENE PERSONAL;0,00000;02;2026;27,93;27,93;4,47;32,40;COMERCIO TRADICIONAL;50000495;Cadenas;;0010002784;10;01;X;20.02.2026 - 22:04:24;;;00100105;1000
ALKOSTO DONDE COMPRAR ES GANAR, C.A.;Cadenas;Fact. Nac. Pharsana;6000138757;Cuidado Personal;Venta Directa;20260210;Zona Occidente;3000;AMY HISOPOS (48x60UN);1,000;CS;48,000;PAQ;48,79;48,79;7,81;56,60;Factura;Crédito 21 días;20260303;USD;NA;;GV. Ger. Reg. Occid.;RICHIE K. MORILLO;00-0628329;1002065761;Amy;60;Original;KG;0,648;;0,648;Cadena Regional;PH-Hisopos;ALGODONES PT;0,00000;02;2026;48,79;48,79;7,81;56,60;COMERCIO TRADICIONAL;50000443;Cadenas;;0010002784;10;01;X;20.02.2026 - 22:04:24;;;00100105;1000
ALKOSTO DONDE COMPRAR ES GANAR, C.A.;Cadenas;Fact. Nac. Pharsana;6000138757;Cuidado Personal;Venta Directa;20260210;Zona Occidente;3000;AMY COLONIA PARA BEBES (10x220ML);1,000;CS;10,000;ST;36,29;36,29;5,81;42,10;Factura;Crédito 21 días;20260303;USD;NA;;GV. Ger. Reg. Occid.;RICHIE K. MORILLO;00-0628329;1002065761;Amy;220;Original;KG;2,000;;2,000;Cadena Regional;PH-Colonia;HIGIENE PERSONAL;0,00000;02;2026;36,29;36,29;5,81;42,10;COMERCIO TRADICIONAL;50000902;Cadenas;;0010002784;10;01;X;20.02.2026 - 22:04:24;;;00100105;1000
ALKOSTO DONDE COMPRAR ES GANAR, C.A.;Cadenas;Fact. Nac. Pharsana;6000138757;Cuidado Personal;Venta Directa;20260210;Zona Occidente;3000;CHICCO BS TH ORIGINAL (48x24UN);1,000;CS;48,000;PAQ;46,97;46,97;7,52;54,49;Factura;Crédito 21 días;20260303;USD;NA;;GV. Ger. Reg. Occid.;RICHIE K. MORILLO;00-0628329;1002065761;Chicco;24;Original;KG;7,392;;7,392;Cadena Regional;PH-TH Travel Pack;TOALLAS HUMEDAS;0,00000;02;2026;46,97;46,97;7,52;54,49;COMERCIO TRADICIONAL;50001084;Cadenas;;0010002784;10;01;X;20.02.2026 - 22:04:24;;;00100105;1000
ALKOSTO DONDE COMPRAR ES GANAR, C.A.;Cadenas;Fact. Nac. Pharsana;6000138757;Cuidado Personal;Venta Directa;20260210;Zona Occidente;3000;CHICCO BS TALCO (24x200G);1,000;CS;24,000;ST;120,84;120,84;19,33;140,17;Factura;Crédito 21 días;20260303;USD;NA;;GV. Ger. Reg. Occid.;RICHIE K. MORILLO;00-0628329;1002065761;Chicco;200;Original;KG;4,800;;4,800;Cadena Regional;PH-Talco;HIGIENE PERSONAL;0,00000;02;2026;120,84;120,84;19,33;140,17;COMERCIO TRADICIONAL;50000969;Cadenas;;0010002784;10;01;X;20.02.2026 - 22:04:24;;;00100105;1000
ALKOSTO DONDE COMPRAR ES GANAR, C.A.;Cadenas;Fact. Nac. Pharsana;6000138757;Cuidado Personal;Venta Directa;20260210;Zona Occidente;3000;CHICCO BS CREMA PROTECTORA (16x80G);1,000;CS;16,000;ST;72,96;72,96;11,67;84,63;Factura;Crédito 21 días;20260303;USD;NA;;GV. Ger. Reg. Occid.;RICHIE K. MORILLO;00-0628329;1002065761;Chicco;80;Original;KG;1,280;;1,280;Cadena Regional;PH-Crema Protectoras;HIGIENE PERSONAL;0,00000;02;2026;72,96;72,96;11,67;84,63;COMERCIO TRADICIONAL;50001002;Cadenas;;0010002784;10;01;X;20.02.2026 - 22:04:24;;;00100105;1000
